1AF7_A	5XLY_A	32.959	267	163	8	10	265	1	262	1.81e-40	137
1AH7_A	5DAG_A	40.476	42	25	0	177	218	45	86	4.74e-05	38.9
1B0N_A	6JQ1_A	34.118	85	53	2	4	86	8	91	2.47e-12	55.1
1B0N_A	5WOQ_A	29.412	68	47	1	1	68	16	82	3.56e-05	36.2
1B0N_A	4Z5D_A	31.250	64	42	2	2	65	10	71	2.59e-04	33.1
1B33_A	5NB4_A	32.716	162	107	1	1	160	3	164	2.06e-25	91.7
1B33_A	4XXI_A	41.071	112	52	2	6	117	6	103	1.04e-20	79.3
1B33_B	4XXI_A	32.051	156	86	6	7	158	5	144	2.00e-16	68.2
1B33_B	5NB4_A	29.008	131	92	1	1	130	1	131	6.34e-16	67.0
1B33_C	5NB4_A	32.716	162	107	1	1	160	3	164	2.06e-25	91.7
1B33_C	4XXI_A	41.071	112	52	2	6	117	6	103	1.04e-20	79.3
1B33_D	4XXI_A	32.051	156	86	6	7	158	5	144	2.00e-16	68.2
1B33_D	5NB4_A	29.008	131	92	1	1	130	1	131	6.34e-16	67.0
1B33_E	5NB4_A	32.716	162	107	1	1	160	3	164	2.06e-25	91.7
1B33_E	4XXI_A	41.071	112	52	2	6	117	6	103	1.04e-20	79.3
1B33_F	4XXI_A	32.051	156	86	6	7	158	5	144	2.00e-16	68.2
1B33_F	5NB4_A	29.008	131	92	1	1	130	1	131	6.34e-16	67.0
1B33_H	5NB4_A	32.716	162	107	1	1	160	3	164	2.06e-25	91.7
1B33_H	4XXI_A	41.071	112	52	2	6	117	6	103	1.04e-20	79.3
1B33_I	4XXI_A	32.051	156	86	6	7	158	5	144	2.00e-16	68.2
1B33_I	5NB4_A	29.008	131	92	1	1	130	1	131	6.34e-16	67.0
1B33_J	5NB4_A	32.716	162	107	1	1	160	3	164	2.06e-25	91.7
1B33_J	4XXI_A	41.071	112	52	2	6	117	6	103	1.04e-20	79.3
1B33_K	4XXI_A	32.051	156	86	6	7	158	5	144	2.00e-16	68.2
1B33_K	5NB4_A	29.008	131	92	1	1	130	1	131	6.34e-16	67.0
1B33_L	5NB4_A	32.716	162	107	1	1	160	3	164	2.06e-25	91.7
1B33_L	4XXI_A	41.071	112	52	2	6	117	6	103	1.04e-20	79.3
1B33_M	4XXI_A	32.051	156	86	6	7	158	5	144	2.00e-16	68.2
1B33_M	5NB4_A	29.008	131	92	1	1	130	1	131	6.34e-16	67.0
1BKR_A	5A38_A	56.604	106	45	1	3	107	136	241	1.53e-39	128
1BXY_A	4Y4O_13	100.000	60	0	0	1	60	1	60	1.19e-38	117
1BXY_A	4YBB_C0	44.444	54	30	0	4	57	4	57	5.07e-10	45.4
1BXY_B	4Y4O_13	100.000	60	0	0	1	60	1	60	1.19e-38	117
1BXY_B	4YBB_C0	44.444	54	30	0	4	57	4	57	5.07e-10	45.4
1C5E_A	5MFD_B	100.000	90	0	0	6	95	3	92	6.54e-61	177
1C5E_B	5MFD_B	100.000	90	0	0	6	95	3	92	6.54e-61	177
1C5E_C	5MFD_B	100.000	90	0	0	6	95	3	92	6.54e-61	177
1CC8_A	5VDE_A	100.000	73	0	0	1	73	1	73	5.17e-51	150
1CC8_A	4YDX_A	42.623	61	33	1	7	67	3	61	5.27e-09	43.9
1CC8_A	4Y2M_A	32.759	58	37	2	8	64	3	59	5.71e-05	33.5
1CC8_A	5KZE_A	27.941	68	35	2	3	62	118	179	0.001	31.2
1CFZ_A	5TTX_A	36.364	154	88	5	2	149	9	158	2.27e-21	81.3
1CFZ_A	5IJA_A	26.712	146	99	3	1	143	1	141	2.96e-09	48.9
1CFZ_A	5ZBY_A	35.385	65	39	2	2	64	13	76	0.002	32.7
1CFZ_B	5TTX_A	36.364	154	88	5	2	149	9	158	2.27e-21	81.3
1CFZ_B	5IJA_A	26.712	146	99	3	1	143	1	141	2.96e-09	48.9
1CFZ_B	5ZBY_A	35.385	65	39	2	2	64	13	76	0.002	32.7
1CFZ_C	5TTX_A	36.364	154	88	5	2	149	9	158	2.27e-21	81.3
1CFZ_C	5IJA_A	26.712	146	99	3	1	143	1	141	2.96e-09	48.9
1CFZ_C	5ZBY_A	35.385	65	39	2	2	64	13	76	0.002	32.7
1CFZ_D	5TTX_A	36.364	154	88	5	2	149	9	158	2.27e-21	81.3
1CFZ_D	5IJA_A	26.712	146	99	3	1	143	1	141	2.96e-09	48.9
1CFZ_D	5ZBY_A	35.385	65	39	2	2	64	13	76	0.002	32.7
1CFZ_E	5TTX_A	36.364	154	88	5	2	149	9	158	2.27e-21	81.3
1CFZ_E	5IJA_A	26.712	146	99	3	1	143	1	141	2.96e-09	48.9
1CFZ_E	5ZBY_A	35.385	65	39	2	2	64	13	76	0.002	32.7
1CFZ_F	5TTX_A	36.364	154	88	5	2	149	9	158	2.27e-21	81.3
1CFZ_F	5IJA_A	26.712	146	99	3	1	143	1	141	2.96e-09	48.9
1CFZ_F	5ZBY_A	35.385	65	39	2	2	64	13	76	0.002	32.7
1CIP_A	5DE3_A	27.551	98	55	3	181	272	26	113	4.89e-05	39.3
1CXQ_A	5CZ1_A	39.456	147	81	3	6	151	5	144	4.62e-29	101
1DFU_P	5IZN_A	59.091	88	35	1	6	93	8	94	7.99e-37	115
1DK8_A	6AM3_A	31.507	146	88	5	2	144	1	137	1.82e-16	67.4
1DL5_A	5ZW3_A	26.596	94	64	3	64	153	43	135	6.34e-04	36.2
1DL5_A	5EPE_A	32.468	77	47	3	61	135	22	95	7.74e-04	35.8
1DL5_B	5ZW3_A	26.596	94	64	3	64	153	43	135	6.34e-04	36.2
1DL5_B	5EPE_A	32.468	77	47	3	61	135	22	95	7.74e-04	35.8
1DWK_A	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_B	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_C	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_D	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_E	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_F	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_G	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_H	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_I	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DWK_J	6B6M_A	69.872	156	47	0	1	156	1	156	1.03e-77	224
1DY5_A	6ETL_A	99.194	124	1	0	1	124	1	124	1.14e-91	256
1DY5_B	6ETL_A	99.194	124	1	0	1	124	1	124	1.14e-91	256
1E58_A	6H26_A	56.078	255	103	3	1	249	2	253	1.06e-103	297
1E58_A	5ZKK_A	37.500	64	37	1	2	65	1	61	8.65e-10	52.8
1EEX_B	5YRV_B	100.000	179	0	0	46	224	22	200	1.20e-130	362
1EEX_E	5YRV_B	100.000	179	0	0	46	224	22	200	1.20e-130	362
1EEX_G	5YRV_C	100.000	136	0	0	38	173	2	137	5.19e-99	278
1EEX_M	5YRV_C	100.000	136	0	0	38	173	2	137	5.19e-99	278
1EF1_A	6IBE_A	30.034	293	186	6	1	288	5	283	1.16e-38	133
1EF1_B	6IBE_A	30.034	293	186	6	1	288	5	283	1.16e-38	133
1EGW_A	6BYY_A	98.701	77	1	0	1	77	2	78	1.69e-54	159
1EGW_B	6BYY_A	98.701	77	1	0	1	77	2	78	1.69e-54	159
1EGW_C	6BYY_A	98.701	77	1	0	1	77	2	78	1.69e-54	159
1EGW_D	6BYY_A	98.701	77	1	0	1	77	2	78	1.69e-54	159
1EUW_A	4XJC_A	25.843	89	64	2	38	126	65	151	0.001	33.1
1F3V_B	6MYD_A	30.263	152	103	3	17	166	2	152	1.30e-23	87.0
1F60_A	5I4Q_C	29.858	211	126	6	233	439	23	215	7.83e-16	72.0
1F60_B	5O8W_B	100.000	94	0	0	1	94	1	94	1.89e-66	190
